,,ro,,defn
List,title,"Jeopardy! Show #5976, aired 2010-09-13",description,"Jeopardy! Show #5976, aired 2010-09-13"
List,format,vocabulary,sharing,public
item,word,the tides,defn,"These, like the spring type, are caused by the gravitational pull of the sun & the moon on the ocean"
item,word,the (Cincinnati) Reds,defn,1975:&lt;br /&gt;Pete Rose
item,word,(John) Kerry,defn,This 2004 presidential nominee chairs the Senate Foreign Relations Committee
item,word,Russian,defn,"1 1/2 oz. of vodka & 1/2 oz. of Kahlua make a ""Black"" this nationality"
item,word,California,defn,"""In 1849, thousands arrived (here) to pan for gold, and once that didn\'t work out, to panhandle for gold"
item,word,snowfall,defn,Precipitation below 32 degrees Fahrenheit
item,word,tsunami,defn,", from the Japanese for ""harbor wave"
item,word,(Boston) Red Sox,defn,2004:&lt;br /&gt;Manny Ramirez
item,word,rules,defn,"The House Committee on these has its own these, such as 3(a)(2), meetings shall be open to the public"
item,word,eggs,defn,"The sizes of these are based on their minimum weight per dozen; jumbo are 30 oz. per dozen, peewee, 15"
item,word,Massachusetts,defn,"""Home to hundreds of prestigious colleges... (it) is where the nation\'s best and brightest can\'t afford to go"
item,word,a fall guy,defn,"Somebody who takes the blame for somebody else\'s mistake, or a Lee Majors TV show"
item,word,seaweed (or algae),defn,"The Sargasso Sea is named for sargassum, a genus of brown this that is strewn in its water"
item,word,the Dodgers,defn,1963 & \'65:&lt;br /&gt;Sandy Koufax
item,word,business,defn,"In the name of a Senate committee, small this is paired with entrepreneurship"
item,word,Tennessee,defn,"""Like Hee Haw, but a state"", this state ""is the birthplace of country music, and the deathplace of all other music"
item,word,pratfall,defn,"This comic tumble is literally onto your rear, because the word comes from slang for that part of your anatomy"
item,word,antifreeze,defn,"To survive the frigid waters, Antarctic fish have proteins that act as this type of compound, like the one used in car engines, inhibiting ice crystal growth in their bodies"
item,word,the Pirates,defn,1971:&lt;br /&gt;Roberto Clemente
item,word,Wyoming,defn,"John Barrasso of this ""Cowboy State"" is Vice Chairman of the Senate Committee on Indian Affairs"
item,word,Arizona,defn,"""This otherwise featureless state of expansive desert...boasts the world\'s most awe-inspiring hole"
item,word,Pitfall,defn,"An unforseen difficulty, or a game show I hosted in the early \'80s"
item,word,the Gulf of Mexico,defn,"The Gulf Stream, a warm ocean current, was named for the mistaken belief that it was generated in this body of water"
item,word,(Baltimore) Orioles,defn,1970:&lt;br /&gt;Brooks Robinson
item,word,Aging,defn,"For Herb Kohl, chairing the Senate Special Committee on this might get kind of old"
